Concentraciones horarias para PM25 red MXC 2019

Fecha,Hora,COB,UABC
2019-01-23,10,31.000000,34.000000
2019-01-23,11,13.000000,29.000000
2019-01-23,12,7.000000,12.000000
2019-01-23,13,4.000000,6.000000
2019-01-23,14,4.000000,1.000000
2019-01-23,15,1.000000,
2019-01-23,16,1.000000,3.000000
2019-01-23,17,6.000000,7.000000
2019-01-23,18,7.000000,5.000000
2019-01-23,19,17.000000,4.000000
2019-01-23,20,40.000000,4.000000
2019-01-23,21,66.000000,25.000000
2019-01-23,22,101.000000,39.000000
2019-01-23,23,71.000000,59.000000
2019-01-23,24,58.000000,34.000000
2019-01-24,1,59.000000,85.000000
2019-01-24,2,59.000000,76.000000
2019-01-24,3,29.000000,45.000000
2019-01-24,4,25.000000,29.000000
2019-01-24,5,33.000000,13.000000
2019-01-24,6,32.000000,32.000000
2019-01-24,7,49.000000,28.000000
2019-01-24,8,29.000000,22.000000
2019-01-24,9,19.000000,22.000000
2019-01-24,10,9.000000,13.000000
2019-01-24,11,10.000000,10.000000
2019-01-24,12,11.000000,7.000000
2019-01-24,13,11.000000,7.000000
2019-01-24,14,7.000000,9.000000
2019-01-24,15,7.000000,5.000000
2019-01-24,16,15.000000,4.000000
2019-01-24,17,10.000000,5.000000
2019-01-24,18,8.000000,18.000000
2019-01-24,19,11.000000,15.000000
2019-01-24,20,36.000000,14.000000
2019-01-24,21,65.000000,19.000000
2019-01-24,22,75.000000,47.000000
2019-01-24,23,86.000000,33.000000
2019-01-24,24,41.000000,46.000000
2019-01-25,1,28.000000,20.000000
2019-01-25,2,14.000000,13.000000
2019-01-25,3,10.000000,9.000000
2019-01-25,4,32.000000,9.000000
2019-01-25,5,30.000000,9.000000
2019-01-25,6,51.000000,26.000000
2019-01-25,7,53.000000,69.000000
2019-01-25,8,52.000000,26.000000
2019-01-25,9,30.000000,12.000000
2019-01-25,10,14.000000,18.000000
2019-01-25,11,18.000000,18.000000
2019-01-25,12,5.000000,6.000000
2019-01-25,13,6.000000,4.000000
2019-01-25,14,6.000000,0.000000
2019-01-25,15,6.000000,3.000000
2019-01-25,16,6.000000,3.000000
2019-01-25,17,5.000000,6.000000
2019-01-25,18,3.000000,6.000000
2019-01-25,19,19.000000,8.000000
2019-01-25,20,52.000000,16.000000
2019-01-25,21,89.000000,28.000000
2019-01-25,22,84.000000,62.000000
2019-01-25,23,109.000000,109.000000
2019-01-25,24,36.000000,65.000000
2019-01-26,1,18.000000,43.000000
2019-01-26,2,16.000000,20.000000
2019-01-26,3,34.000000,40.000000
2019-01-26,4,27.000000,22.000000
2019-01-26,5,53.000000,2.000000
2019-01-26,6,62.000000,5.000000
2019-01-26,7,32.000000,8.000000
2019-01-26,8,16.000000,46.000000
2019-01-26,9,34.000000,42.000000
2019-01-26,10,22.000000,36.000000
2019-01-26,11,7.000000,17.000000
2019-01-26,12,7.000000,7.000000
2019-01-26,13,8.000000,7.000000
2019-01-26,14,6.000000,5.000000
2019-01-26,15,5.000000,6.000000
2019-01-26,16,7.000000,4.000000
2019-01-26,17,8.000000,5.000000
2019-01-26,18,8.000000,9.000000
2019-01-26,19,17.000000,7.000000
2019-01-26,20,29.000000,12.000000
2019-01-26,21,51.000000,20.000000
2019-01-26,22,82.000000,28.000000
2019-01-26,23,96.000000,46.000000
2019-01-26,24,72.000000,56.000000
2019-01-27,1,70.000000,26.000000
2019-01-27,2,90.000000,25.000000
2019-01-27,3,101.000000,36.000000
2019-01-27,4,103.000000,33.000000
2019-01-27,5,99.000000,36.000000
2019-01-27,6,83.000000,58.000000
2019-01-27,7,54.000000,41.000000
2019-01-27,8,48.000000,24.000000
2019-01-27,9,44.000000,16.000000
2019-01-27,10,30.000000,9.000000
2019-01-27,11,13.000000,6.000000
2019-01-27,12,7.000000,3.000000
2019-01-27,13,3.000000,4.000000
2019-01-27,14,1.000000,3.000000
2019-01-27,15,0.000000,2.000000
2019-01-27,16,0.000000,2.000000
2019-01-27,17,6.000000,4.000000
2019-01-27,18,7.000000,0.000000
2019-01-27,19,15.000000,6.000000
2019-01-27,20,50.000000,21.000000
2019-01-27,21,77.000000,47.000000
2019-01-27,22,113.000000,44.000000
2019-01-27,23,135.000000,62.000000
2019-01-27,24,165.000000,77.000000
2019-01-28,1,84.000000,93.000000
2019-01-28,2,59.000000,75.000000
2019-01-28,3,75.000000,42.000000
2019-01-28,4,64.000000,64.000000
2019-01-28,5,58.000000,55.000000
2019-01-28,6,63.000000,22.000000
2019-01-28,7,57.000000,12.000000
2019-01-28,8,58.000000,8.000000
2019-01-28,9,89.000000,31.000000
2019-01-28,10,66.000000,74.000000
2019-01-28,11,50.000000,46.000000
2019-01-28,12,26.000000,19.000000
2019-01-28,13,31.000000,13.000000
2019-01-28,14,18.000000,11.000000
2019-01-28,15,18.000000,21.000000
2019-01-28,16,17.000000,12.000000
2019-01-28,17,17.000000,12.000000
2019-01-28,18,17.000000,7.000000
2019-01-28,19,43.000000,11.000000
2019-01-28,20,67.000000,33.000000
2019-01-28,21,35.000000,29.000000
2019-01-28,22,70.000000,20.000000
2019-01-28,23,97.000000,31.000000
2019-01-28,24,40.000000,50.000000
2019-01-29,1,21.000000,44.000000
2019-01-29,2,29.000000,23.000000
2019-01-29,3,45.000000,21.000000
2019-01-29,4,36.000000,35.000000
2019-01-29,5,39.000000,58.000000
2019-01-29,6,28.000000,42.000000
2019-01-29,7,43.000000,54.000000
2019-01-29,8,61.000000,57.000000
2019-01-29,9,62.000000,53.000000
2019-01-29,10,77.000000,63.000000
2019-01-29,11,37.000000,59.000000
2019-01-29,12,18.000000,25.000000
2019-01-29,13,16.000000,11.000000
2019-01-29,14,14.000000,
2019-01-29,15,11.000000,
2019-01-29,16,8.000000,
2019-01-29,17,14.000000,
2019-01-29,18,12.000000,
2019-01-29,19,30.000000,
2019-01-29,20,78.000000,
2019-01-29,21,36.000000,
2019-01-29,22,73.000000,
2019-01-29,23,81.000000,
2019-01-29,24,35.000000,
2019-01-30,1,41.000000,
2019-01-30,2,45.000000,
2019-01-30,3,62.000000,
2019-01-30,4,72.000000,
2019-01-30,5,82.000000,
2019-01-30,6,56.000000,
2019-01-30,7,54.000000,
2019-01-30,8,53.000000,
2019-01-30,9,62.000000,
2019-01-30,10,46.000000,
2019-01-30,11,32.000000,
2019-01-30,12,38.000000,
2019-01-30,13,29.000000,
2019-01-30,14,13.000000,30.000000
2019-01-30,15,9.000000,10.000000
2019-01-30,16,6.000000,7.000000
2019-01-30,17,12.000000,4.000000
2019-01-30,18,11.000000,14.000000
2019-01-30,19,16.000000,12.000000
2019-01-30,20,35.000000,10.000000
2019-01-30,21,41.000000,18.000000
2019-01-30,22,63.000000,28.000000
2019-01-30,23,94.000000,54.000000
2019-01-30,24,103.000000,67.000000
2019-01-31,1,116.000000,151.000000
2019-01-31,2,111.000000,111.000000
2019-01-31,3,87.000000,62.000000
2019-01-31,4,100.000000,83.000000
2019-01-31,5,82.000000,62.000000
2019-01-31,6,90.000000,98.000000
2019-01-31,7,103.000000,86.000000
2019-01-31,8,89.000000,93.000000
2019-01-31,9,82.000000,80.000000
2019-01-31,10,68.000000,80.000000
2019-01-31,11,52.000000,39.000000
2019-01-31,12,38.000000,27.000000
2019-01-31,13,31.000000,24.000000
2019-01-31,14,,12.000000
